fen,tactical_label
rnb1qb1r/pppp3p/3k3B/3n1ppP/1P1p4/2N1P3/P1PQ1PP1/R3KBNR w KQ - 0 10,3
rnbq1bnr/4pk1p/pp6/2pp2p1/P2P4/4BN2/1PP1PPPP/RN2KB1R w KQ - 0 8,3
rn2k1nr/1p2pp1p/p2p1b2/2p2Pp1/2P3P1/P1NP1Q2/P3NPBP/R1B1K2R b KQkq - 2 10,2
rn1qkbnr/p2p1ppp/b1p5/1p2p3/1P5N/N2P4/P1P1PPPP/R1BQKB1R w KQkq - 2 6,2
rn1qk2r/pbppp1bp/6p1/1p3p2/P1P1P1n1/1Q3PPP/1P1P4/RNB1KBNR w KQkq - 1 9,3
r2kqb1r/pp1npp1p/n2p2p1/2p2P2/3P3P/PPB2b2/2PNP1P1/R2QKB1R b KQ - 1 12,3
1nbqkb1r/1p1ppppp/2p5/r4n2/p1PP4/4PPP1/PPQ4P/RNB1KBNR w KQk - 3 7,3
rnb1kbnr/pp1pp2p/2p3p1/3q1p2/PP2P3/5P2/2PP2PP/RNBQKBNR w KQkq - 1 6,3
r1bqk1nr/pp1p1p2/n5p1/P1p3p1/1PN1p1P1/2P5/3PPP1b/1RBQKBR1 b kq - 1 11,3
rnbqk1nr/ppb5/8/2ppppNp/PP6/R2PB1PP/2P1PP2/1N1QKBR1 w kq - 0 11,2
r1bnkb1r/2p1ppp1/pp1q1n2/3p2Pp/3N4/3P4/PPP1PPBP/RNBQK1R1 b Qkq - 0 9,3
rnbq1br1/p1pkpppp/3p1n2/1p6/2P3PP/1PNP4/P2BPP2/R2QKBNR w KQ - 5 8,2
rnbq1b1r/1p1ppkp1/7n/p1p4p/6P1/2P2P1N/PP1PP2P/RNB1KB1R w KQ - 2 7,0
r1bqkbnr/p1p1p1p1/n6p/1p1p1p2/N2N4/1P5P/P1PPPPP1/R1BQKB1R b KQkq - 1 6,2
1n1qkbnr/r2bp2p/B1p2pp1/3p4/p2PP2P/6B1/RPP2PP1/1N1QK1NR b Kk - 1 10,3
r1bqkbr1/p4pp1/npp2B1n/3pp3/1P3Pp1/P6N/2PPP2P/RNQ1KB1R w KQq - 0 11,3
1rbqkbnr/3pp1Bp/2p5/pp3p2/1n6/P2P1N2/2P1PPPP/RN1QKB1R b Kk - 1 8,3
r1b1kb1r/pp2pp2/n1p4n/q2p2pp/1P6/B2PPP2/P1P1Q1PP/RN1K1BNR b kq - 4 8,3
1nb2bnr/2pq1k2/rp6/p2pp1pP/4Np2/P1PPPP2/1P4BP/RNBQK1R1 w Q - 1 13,3
rnb1kbnr/Q2q2pp/4pp2/1ppp4/2PP2P1/1P2PP2/P2NB2P/R1B1K1NR b KQkq - 2 10,3
r1b1k2r/2pqbpp1/pn3n2/p3P2p/8/5P2/PPPP2PP/RNB1KQNR w kq - 1 12,3
r1bq1k1r/pppp2pp/2n4P/b3pp1Q/4PP1P/N7/PP1P3R/R1B1KBN1 w Q - 3 11,3
rn1qkb1r/ppp1pppp/7n/3p1b2/4PP2/P1P4P/1P1P2PR/RNBQKBN1 b Qkq - 0 6,3
2bqkbnr/r2pp2p/1pp3p1/pBn1P3/6pP/NP3P2/P1PP2P1/1RBK2NR b k - 2 13,3
rnbq1knr/3p1ppp/2pb2P1/pp3p2/7P/1P2P2B/P1PP4/RNBQK1NR b KQ - 0 9,3
1nbqkbnr/1rpppp1p/p7/1p4pQ/3P4/2N1B1P1/PPP1PP1P/R3KBNR b KQk - 1 7,2
1nb1kb1r/r1qp1p2/pp1p3p/2p3P1/4n3/P7/1PPPN1PP/1RBQKB1R w Kk - 2 11,2
r1bqkb2/p3pppr/n2p4/1pp4n/3PP1Pp/NPP2P2/PBQ4P/R2K1BNR b q - 1 12,3
rnb2bnr/3ppkpp/ppp2p2/4q3/P3PB2/3P4/1PPNKPPP/R2Q1BNR w - - 5 8,2
rnb1k1nr/2p2p2/p3pq1p/1pbp2P1/1P1PNp2/2P5/P3PP1P/1RB1KBNR b Kkq - 0 13,3
rn1qk1n1/1b1p2pr/1pp5/p3Pp1P/1b2P3/B2P4/P1PQ2BP/RN2K1NR w KQq - 1 12,3
r1b1kbr1/p2q2p1/1pp4n/2Pppp2/3PPP2/1QP3PN/P6P/RN2KB1R b KQq - 0 12,3
2bq1bnr/r1p1pkp1/3p3p/pp3p2/P5PP/R3PP2/1PnPKR2/1NBQ1BN1 w - - 2 12,3
rn2kbr1/pppq2pp/3ppp2/4Pb2/8/1PP5/PBQPP1PP/RN2KBR1 w Qq - 2 10,3
rn2kbnr/4pp1p/Qqp5/1p1p2p1/1P2NP2/3P3b/P3P1P1/R1B1KBNR b KQkq - 1 10,3
rn1q1bnr/pp2pk2/B3bppp/2pp3P/4P1P1/1PP2N2/PB1P1P2/RN1QK1R1 b Q - 1 11,3
rn2kbnr/p3pppp/b2q4/1p1p4/2pP2P1/BPP4N/P3PP1P/RN1QKB1R w KQkq - 1 9,3
1rbqkb1r/1pp3pp/p4p1n/2PpP3/7P/2N2P1R/PP1P2P1/RNBQKB2 w Qk - 0 12,3
r1b1kb2/2ppn2r/2n3p1/pp2p1qp/1P2Pp2/1BP2N2/P2P1PPP/RNBQK1R1 w Qq - 2 12,3
3qkbnr/rpp1pp1p/p1n5/3p2pP/7N/NP5b/P1PPPPPR/R1BQKB2 b Qk - 5 7,3
r2qkb1r/pb1pppp1/1pn5/5n1p/P2P4/1pP2P1N/RP1NP1PP/2B1KB1R b Kkq - 1 10,3
r1bqkb1r/1p1ppp1p/n1p4n/p5pP/4P3/2P5/PP1P1PP1/RNBQKBNR b Qkq - 0 6,0
1nbqkbnr/2ppp1pp/r7/pp6/5p2/N1PP1PP1/PP2P2P/R1BQKBNR w KQk - 0 6,3
rnb1kbn1/pp1pqppr/2p5/4p2p/2P4P/P3PQ1N/1P1P1PP1/RNBK1B1R b q - 2 7,3
r3kbn1/p1pqpppr/3p3p/1pP5/PB2P3/1b1P1P1N/4N1PP/R2QKB1R b KQq - 0 13,3
rnbq1b1r/ppp1kp1p/6pn/3pp3/P4P1P/2N3P1/1PPPP3/R1BQKBNR w KQ - 0 6,3
rnbqkb1r/p1pppp1p/7n/1p3Pp1/6P1/P3P3/1PPP3P/RNBQKBNR w KQkq - 1 6,0
1rb1kbnr/pp1pB1pp/2p5/5p2/3P4/qnQ2PP1/PPP1P2P/RN2KBNR b KQk - 0 9,3
rnb1qbnr/p2pkp2/1p2p2p/2p3p1/2PPKP2/4B1P1/PP2P2P/RN1Q1BNR b - - 0 8,3
rn1q1b1r/pbp1pk1p/1p6/3p1pp1/2P4P/1P2n2R/P2PPPB1/RNBQK1N1 w Q - 0 12,3
r2qkb1r/p1pbppp1/2np3p/1p6/5n2/P1NPPN2/1PPQBPPP/R1BK3R b kq - 4 10,3
r1b1kbnr/p2p1pp1/np2p3/2p1N1qp/7P/N1PPP3/PP1B1PP1/R2QK1R1 b Q - 3 10,3
rnbq1bnr/p1pppk1p/5p2/1pP5/3P2pP/8/PPQ1PPP1/RNB1KBNR w KQ b6 0 6,0
rnbq1b1r/p3pk1p/2N4n/1ppp1p1p/6P1/4P3/PPPP1P1R/RNBQKB2 b Q - 1 9,3
r1b1kbnr/Np1pppp1/n3B3/7p/P6q/2P1PNP1/1P1P1P1P/R1BQK2R w KQk - 0 11,3
rn1qkb1r/pp1b2pp/3pp2n/2p2p2/QPP1P3/5P1N/P2PK1PP/RNB2B1R b kq - 0 7,3
rnbq1bn1/ppppp1p1/5k1r/5p2/1P1P2p1/2N1P2P/P1PBBP2/1R1QK1NR w K - 3 10,0
rnb1kbnr/p3p1pp/1ppp3N/4P1p1/8/PP6/2PP1PPR/RNBQKB2 w Qkq - 0 12,3
rnbqk1nr/ppp2pp1/4p3/1P1p3p/1b6/N2PPN2/PBP2PPP/1R1QKB1R w Kkq - 2 9,1
rnb2b1r/pp1ppkp1/3N4/2p2p2/P1P2qnp/1P2P2B/R1QP3P/2B1K1NR b K - 1 12,1
r1b1kb1r/2ppnppp/4p1P1/pp6/2QP3q/1P6/P2KPP1P/RNB2BNR b kq - 0 9,3
rnbqkbnr/1ppp4/5pp1/p7/2PP3p/P1N1PN1P/1P3PP1/R1BQKB1R b KQ - 0 11,0
rnbqkbn1/3ppp2/1p1r4/2p3pp/2P1PP2/P4N1P/RP1P2P1/1NBQK2R b Kq - 4 10,3
rn1qkb1r/p2pp1pn/bp6/2p2p2/P1NPP1P1/2P4p/1P3P1P/R1BQKBNR b Kkq - 0 10,3
r1b1kb1r/pp1pppp1/2n2n1p/2p5/2PP3P/P4P1R/1PQ1P1P1/RNB1KBN1 w Qkq - 1 9,3
1rb1k1nr/p2p1qpp/Qpp2p2/2b1p3/1n2P3/6PP/PPPP1PB1/1RB1KNNR b Kk - 11 13,3
r2k2nr/p1pp1p1p/bpn5/1Nb1p1p1/1QP2P1q/P2P2P1/1P2P2P/R1B1KBNR w KQ - 2 10,3
rnq2bnr/1pk1p2p/2pp4/pP4p1/1QP1P1b1/3P1N1P/P3pPP1/1R2KBNR b K - 0 13,3
rn1qkb1r/pp2p1pp/3pNp1n/2p5/4PB2/3P2P1/PPb2P1P/R2QKB1R b KQkq - 1 9,3
1n1k1bn1/p1pqpp2/1p1p2pr/7p/P4PPP/N6R/1PPPP3/R1BQK1N1 b Q - 0 12,3
r2qkb1r/1p2ppp1/5n1p/p1pp1b2/3PP2P/P1P2N2/RPQ1KPP1/1NB2B1R b kq - 0 12,3
r1bqkbnr/1ppp1p2/n7/2P2Ppp/4p2P/Np4PB/P2PP3/R1BQK1NR b Kkq - 1 11,3
rnq1kbnr/p1p1pp1p/1p6/P5p1/1P1p2b1/2N5/2PPPPPP/R1BQKBNR w KQkq - 0 7,3
r1bk2r1/pp1p1pp1/n2bp2n/2p1q2p/P1PN1P2/1P1P1NPB/4P2P/1RBQK2R w K - 5 13,3
r1b1kbn1/1pp1q2r/p1n2p1p/1N1pp1p1/3P4/P1P2P2/1PQKP1PP/R1B2BNR b q - 1 10,3
1nbqk1r1/rpppb2p/p3pp1n/4P1p1/2N3P1/1PPP3N/P4P1P/1RBQKBR1 w - - 5 13,3
r1bqnk1r/pppn1p2/4p1p1/1B2P1p1/8/P1P4P/P2P1PP1/RNB1K1NR w KQ - 2 12,2
rnb1k1n1/pp1ppp2/2pr2pb/6Bp/P2P4/2P2N2/1P2PPPP/Rq1QKBNR b KQq - 11 12,3
rnbq3r/pp1pkppp/2p2n2/4p3/PbP1P3/R6P/1P1P1PP1/1NBQKBNR w K - 0 6,3
r1q2bnr/2pk3p/p1nppp2/1p4R1/1P2PP2/P1N4P/2PPK2P/R1BQ1B2 w - - 1 12,3
rnbqkb1r/2pppn2/1p3p2/p3N1pp/3P3P/2P1K1P1/PP2PP2/RNBQ1B1R b kq - 0 8,3
1nbqkbnr/p1rp1ppp/1p6/2p1p3/2PPP3/6PP/PPQ2P2/RNB1KBNR b KQk - 8 9,2
1nbqkb1r/2ppp1p1/r4p2/pQ5p/6n1/N3PP1N/PPPP2BP/R1B1K1R1 w Q - 1 11,3
1n1qkbnr/rppbp1pp/5p2/3pP3/1pP5/7P/P2P1PP1/RNBQKBNR w KQk - 0 7,3
rn1q1bnr/pp2p1p1/2pp3p/5b1k/P1P4P/6P1/RP1PPP2/1NB1KBNR w K - 0 12,2
rnbk1b1r/ppp4p/3pppQn/7q/P1PP4/4B1P1/1P2PP1P/RN2KBNR b - - 0 13,3
rnbqk1r1/3p1ppn/p1pb4/1p2p2p/1PKP3B/8/P1PNPPPP/RN1Q1B1R w q - 0 12,1
rn1qkbnr/p2p1ppp/2p1p3/1p1b4/2P4P/N2P2PN/PP1BPP2/R2QKB1R b KQkq - 1 7,3
rnbq1br1/ppNk1pp1/3p1n2/4p2p/2P3PP/8/PP1PPP2/R1BQKBNR b KQ - 0 7,3
r1bqkbnr/pp2pppp/n1p5/3p4/5N2/1P6/P1PPPPPP/RNBQKB1R w KQkq - 6 6,0
rnbqkb1r/pp1pppp1/2p2n1p/4P3/8/1P1PB3/P1P2PPP/RN1QKBNR w KQkq - 0 6,3
2bqkbn1/3ppppr/prn5/1pp1P2p/7N/3P1Q1P/P1P2PP1/RNB1KBR1 b Q - 0 12,0
r3kbnr/p1p1ppp1/1pn1b3/2q4p/2NpP3/1PPP2P1/P4PB1/R1BQK1NR w KQkq - 0 10,3
2qnkbnr/3bpp1p/rppp2p1/p7/P7/1PN2N2/2PPPPPP/R1BQKB1R w Kk - 0 11,0
rnbqkbnr/p1pp1p2/8/1p2p1pp/6P1/2NP1PKP/PPP1P3/R1BQ1BNR b kq - 1 7,2
rnb2bnr/ppp1kppp/3pp3/6P1/8/P1PP4/1P1NP1PP/R1BQKBNR b KQ - 2 6,0
rnb1kbnr/pp1pppp1/4Q3/7p/1p1P1q2/8/P1P1PPPP/RNB1KBNR b KQkq - 5 6,3
rnb2bnQ/ppp5/3ppp2/3k2p1/1P4P1/N1P4P/PR1PPP2/2BK1BNR b - - 0 13,2
1nbqkbnr/1p4p1/3pp3/rNp2p1p/1p6/5P1N/PBPPPKPP/R1Q2B1R w k - 0 9,3
1nbqkbnr/rppp1p1p/4p3/p1P3p1/QP4P1/5P1N/P2PP2P/RNB1KB1R b KQk - 0 7,3
rn3bnr/p1p1p3/1pq1b1kp/3p1p2/1P3PP1/N7/P1PPPKB1/1RB1Q1NR b - - 0 12,3
r1bqkbr1/np1n1pp1/4p3/p6p/3pP3/N3B3/PPPK1PPP/R4BNR w q - 2 11,3
rnbqkbnr/ppp1p3/3p2p1/P6p/5p2/5PPP/1PPPP3/RNBQKBNR w KQkq - 0 6,2
r1b1q1nr/p1ppkp2/np2p2B/6pp/P2P3P/b4N2/1PP1PPPR/RN1QKB2 w Q - 0 9,3
r2q3r/2ppb1pp/bpn2k1n/p3p2P/2PP1pP1/P1N1PQ1B/1P3P2/R1B1K1NR b KQ - 0 12,3
rn1q1bnr/3bpkp1/3p3p/ppp2p2/QPP4P/2N1PK2/P2P1PP1/1RB2BNR w - - 2 10,3
r2q2nr/pppbkpp1/3p3p/4p3/N1Pn3P/1P3N2/P2PPPP1/R1BQKB1R b KQ - 1 10,3
r1b2bnr/p1p1p2p/npqp3k/3P1pp1/3Q1P2/PNP5/1P1BP1PP/RN2KBR1 b Q - 0 11,3
2bqkbn1/1pp1p2r/r1P3p1/p2p1p1Q/4P2P/N1P3P1/P2P1P2/R1B1KBNR b KQ - 0 9,3
rnb1k2r/pp1pb1p1/4Pn2/1qp2p1p/3P4/N4NPB/PPP1P2P/R1BQK2R b KQkq - 6 10,3
r1bqkbnr/1p2p3/2p5/p3np1p/P2p2pP/RPN1PQP1/N1PP1P1R/2B1KB2 b kq - 1 12,3
rn1k1bnr/p1q1ppp1/b1p5/3p3p/pP2BPP1/B7/1RPPPK1P/1N1Q2NR w - - 2 11,3
r1bq1bnr/3npkpp/1p6/pBp1p3/3p1PP1/1PN5/P1PPK2P/R1B1Q1NR w - - 2 10,3
r2qkbn1/1p2pp1r/p4n1p/2pp3b/2P5/PP1P4/3KPPPP/RNB2BNR b q - 0 13,3
rn2kb1r/1pq1n2p/3pppp1/pbp5/2P5/PP2P3/1B1P1PPP/R2QKBNR w KQkq - 2 11,3
r1bq1b1r/p3nk2/1pnp1p1p/3Pp1p1/1p4BP/N4PP1/P1PQP3/R1B2KNR b - - 0 13,3
r1bqkbnr/p1ppp1pp/1p6/5p2/Pn2N1P1/B6B/2PPPP1P/R2QK1NR b KQkq - 1 7,3
rnbqkb1r/1pppp1p1/p7/1Q6/1n4pp/P1PP1N2/3NPP1P/R1B1KB1R b KQkq - 1 9,3
rnb1k1nr/p2p1p1p/1q3p1b/1pp1p3/4P3/1P1P1PP1/P1P4P/R1BQKBNR w KQkq - 1 9,0
r2qkbnr/ppp1pppp/2n5/4N3/Q5b1/2p5/PP1PPP1P/RNB1KB1R w KQkq - 0 6,3
1rb3nr/p1p1kp1p/Q5pB/2Ppp3/1pP2P2/P1NP3P/3KP2P/R4BNR b - - 2 13,3
1rbqkbn1/n1ppp1pr/p4p1p/1p2P3/6PP/2P2P1B/PPQP4/RNB1K1NR w KQ - 1 9,3
1nbqkbnr/1pppp2p/r5p1/p4p1Q/2P1P3/1P5P/P2P1PP1/RNB1KBNR b KQk - 0 6,3
rnbqk1nr/1pp1bp2/p2pp3/2P3pp/4P3/5PPB/PP1P3P/RNBQK1NR w KQkq - 0 7,3
r2qkb1r/pb3ppp/n1p1p3/1p1p3P/1P2n3/N2PKP2/P1P1P1P1/R1BQ1BNR b kq - 0 9,3
r1bqkb1r/1pp1ppp1/n1p5/7p/p4PnP/4P1P1/PPPPQ2R/RNB2KN1 w q - 0 11,3
r1bq1bnr/pppk1ppp/2n5/4p3/3p1P2/1QP1P3/PP1P2PP/RNB1KBNR b KQ - 0 6,3
r1bqkbnr/p1pp3p/4n3/Pp2Bpp1/4p3/N1PP3P/1P1QPPP1/R3KBNR b KQkq - 3 9,3
rn2kbn1/p2bppp1/2p4r/1N1p1P2/q2P3p/2P5/1P1KP1PP/R1B2BNR w q - 1 11,3
rnbqk1nr/ppp2p1p/3pp3/1Pb3p1/8/2B2P2/P1PPPKPP/RN1Q1BNR w kq - 4 8,1
r1bqkb1r/p1ppp1p1/1pn2p1n/7p/1P4P1/5P1P/P1PPP3/RNBQKBNR w KQkq - 0 6,2
r1b2bnr/ppp1qpk1/n2p3p/3Pp2R/4N3/P5P1/RPPNPPB1/2BQK3 b - - 6 13,0
r1b1kbnr/pp1pp3/8/q1p2p1p/1nP1QpP1/PP5P/3PPK1R/RNB2BN1 b kq - 3 11,3
rn1qkbnr/3pp1p1/b4p2/p1pP4/P1p2P1p/6P1/1P2PK1P/RNQ1BBNR w kq c6 0 13,3
1nbq1br1/rp1kpppp/3p4/B1pn3P/2P5/NP6/P2PPPP1/R1Q1KBNR b Q - 2 11,3
r2qkb1r/2p2p1N/1p1pp2n/pP2n1pP/4P3/2P3P1/1P1PKP2/RNBQ1B1R w kq g6 0 12,3
rnb1kbnr/p3p3/2q3p1/1p1p1pPp/P7/5N2/1PPPPPBP/1RBQKR2 b kq - 0 12,3
r1b1kbnr/p2p1p1Q/n1pq4/4p1p1/P1p5/5P1N/1P1PP1PP/RNB1KB1R b Kkq - 2 9,3
rn1q1bn1/pp2pN1p/2p1kp2/3p2p1/2P1PP2/N2B4/PPQP2bP/R1B1K1R1 b Q - 0 13,3
rnb1kb1r/2qp2pp/1p2p2n/8/p1P2P2/N4PP1/P1PPK2P/R1BQ1BNR b kq - 1 12,3
r2qkb1r/p2bpp2/1p2nn2/1B4p1/1N2p1p1/2N5/PPPPQP1P/1RB1KR2 b kq - 1 13,3
3qkbnr/r1p2p2/ppnpb1p1/4p2p/1P1P2P1/2Q1PP2/P1P1N2P/RNB1KB1R w KQk - 1 10,3
r1bqkbnr/1pppp3/p1n5/5p1p/1P3p2/2NP4/P1PBP1PP/R2QKBNR b kq - 0 9,2
rnb1kr2/3pqpp1/p1p2n2/1pP1p3/P5p1/1P2P3/1B1PKP1P/R2Q1BNR b q - 1 13,3
rn2kbnr/3bp2p/1pqpQpp1/p7/P1p4N/1P1PP3/2P2PPP/RNB1KB1R w kq - 2 12,3
rn1qkbnr/3p1pp1/2p1p3/pp5p/P6P/1RP5/1P1PPPb1/1NBQKB1R w Kkq - 0 9,3
r1bqkb1r/pppp1pp1/n6n/7p/1P2p2P/N4P2/PBPPP1P1/R2QKBNR w KQkq - 1 6,3
rnbqkbnr/2pp2pp/pp3p2/6B1/2Pp2P1/5P2/PP2P2P/RN1QKBNR w KQkq - 0 6,3
1nbqk1nr/rppp2b1/4pp2/pB4Pp/3PP3/N7/PPPK1PP1/R1BQ2NR w k - 0 8,3
rnb1kbn1/p3p2r/1qp2ppp/1pPP4/2B3QP/N7/PP1P1PP1/R1B1K2R b KQq - 0 12,3
1nbqkbnr/rpp1pppp/B2p4/p7/4P3/P1N2N2/1PPP1PPP/R1BQK2R w KQk - 0 6,2
rnbqkbn1/1p4pr/p1p2p1p/3ppP2/8/N2P1N2/PPPBP1PP/R2QKB1R w KQq - 0 8,3
rnb1k2r/1pp2ppp/5n2/p2pp2P/R2P2P1/b3PP2/1PP1K1B1/1NBQ2NR b kq - 0 11,3
r1bqkbnr/p1p1pppp/1pn5/3p4/P1BPP3/5P2/1PPB2PP/RN1QK1NR b KQkq - 0 6,3
rn1qkbnr/1pp1p1p1/p3bp1p/3p4/1P5P/P4P2/1BPPP1P1/RN1QKBNR w KQkq - 1 6,0
1rb2bnr/ppp1p3/n2PNk1p/6p1/Q7/4PpP1/PP1P1P1P/RNB1KB1R b KQ - 0 11,3
r1bnkq1r/1pppn2p/1b4p1/p3pp1Q/P3P3/1P1B4/2PPNPPP/RNB2RK1 w kq - 0 13,3
1nb2bnr/rp2pk1p/1qpp1p2/6p1/3P2P1/pP2P2P/P1PNKP2/R1B1QBNR b - - 3 11,3
rnbqkb1r/6pp/pppp4/3npBP1/7P/PPPP1P2/4P3/RNBQK1NR w KQkq - 0 12,3
rnbqk1n1/p1pp1pr1/1p2p1pp/1N6/3PPNQ1/1P6/P1P2PPP/R1B2RK1 w q - 2 13,3
r1bq3r/pp2k1p1/n1p1p3/3p1p2/1bPPn2P/BP1R4/P3PPP1/RN1K1BN1 b - - 1 13,3
rnbqkbr1/2ppppp1/p6n/7p/Pp6/1PN1P3/1BPPQPPP/R3KBNR w KQq - 0 7,3
rnbqkbr1/1pp2p2/3p1np1/p3N3/2N4p/1P2P2P/PBPP1PP1/R1Q1KB1R b KQq - 1 11,3
rn1qkb1r/1p3p2/p1pp2pp/3npP1Q/PPP5/3R3P/1B1P1PP1/1N2KBNR b Kkq - 0 10,3
r1bqkbnr/pp2pp1p/2pp4/4n1p1/7P/2PP2P1/PP1QPP2/RNB1KB1R w KQkq - 0 8,0
rn1qkbnr/p2b1p1p/1pppp1p1/5P2/PP6/2P3P1/3PP2P/RNBQKBNR w KQkq - 0 7,3
1rbqkb1r/2pp1ppp/4pn2/pp4N1/Pn5P/2R1P3/1PPPKPP1/1NBQ1B1R b k - 1 9,3
rnbqk2r/1ppp1p1p/Q5p1/4p3/1b1PP1n1/2P5/PP1B1PPP/RN2KBNR b KQkq - 0 7,3
Nn1q2nr/p3k1p1/b2p1p2/1p2p2p/1b1P4/P5P1/1PPNPP1P/R1BQKB1R b K - 0 13,3
r1bqkb1r/pp1p2p1/n1p1p2n/5p1P/N1B5/PP2PN2/2PP1P1P/R1BQK2R w KQkq - 0 10,3
1rbq2nr/p2kp1b1/n2P1ppp/1pp5/1P2PP2/6P1/P2PN2P/R1BQKBNR w KQ - 1 12,3
rn1qkb1r/p2ppppp/1p6/2pn3Q/2b1P2P/8/PPPPNPP1/RNB1KB1R b KQkq - 0 9,3
rn1qkbnr/ppp1pppp/3p4/5b2/2P5/3PP3/PP1B1PPP/RNQK1BNR b kq - 0 6,0
r2qkb1r/pppn1p1p/3p1n2/2P1pb2/P5p1/2Q3PB/1P1PPP1P/RNB1K1NR w KQkq - 0 8,3
1rbq1bn1/2p1kppr/1pn1p2p/1N1Q4/p1P3P1/3pP2B/PP1P1P1P/R1B1K1NR b KQ - 3 13,2
r3kbnr/pbp1pppp/3p4/1p5q/5BP1/1n1PP1NN/PPP2PQP/R3KB1R b KQkq - 6 12,3
rn2kbnr/pp1b1p1p/1q1p3p/2p1p3/4P3/3P1P2/PPP3PP/RNQ1KBNR w KQkq - 0 7,0
r1bq1bnr/2pkpQp1/1pn4p/p2p4/4P3/PP1P3N/2P2PPP/RNB1KB1R w KQ - 1 8,3
rnbq1knr/pppppp2/5bpp/1B2P3/5P2/8/PPPPK1PP/RNBQ2NR w - - 1 6,3
r1b1kbnr/ppqpp1p1/2n4p/2p2p2/P1P3P1/1P2P2B/3PQP1P/RNB1K1NR b KQkq - 0 8,3
rn2kbnr/p3p3/b1pp3p/q5p1/2p1P2Q/NP1B1P1P/P2PNP2/R1B1K2R b Qkq - 2 12,3
rnbq1bnr/p2pkppp/8/1pp1p3/1PP5/P1N2NPB/3PPP1P/R1BQK2R w KQ - 1 8,3
rnbk1bnr/ppp1p1p1/7p/3q1p2/PP1P2P1/N4B1P/2P5/R1BQ1KNR w - - 3 12,3
r1b2bnr/Np1p1ppp/nqp2k2/8/3Np1P1/1P2P3/P1PP1P1P/R1BQKB1R w KQ - 3 9,3
rnbqkbr1/pp1ppp1p/2p3pn/3P4/1P3P2/B7/P1PKP1PP/RN1Q1BNR b q - 0 7,0
rnb1kbnr/1p2pppp/p2p3q/2p4Q/N1P5/3P4/PP2PPPP/R1B1KBNR w KQkq - 0 8,3
r1bk1bn1/pp1qp3/n1p4p/1BP5/3PP3/8/PP3r1P/RNBK2NR b - - 0 13,3
rnbq1bnr/1p1p2pp/2pk1p2/p7/2Pp1Q2/1P5P/P3PPP1/RNB1KBNR b KQ - 1 8,1
rnbqkb1r/p1ppppBp/Qp6/8/7p/PP2P1n1/2PP1PP1/RN2KBNR b KQkq - 1 9,3
r1bqkbnr/p2pp3/n1p2pp1/1p4Pp/2P5/N4N2/PP1PPP1P/R1BQKBR1 w Qkq - 2 7,3
rnbqkbnr/3pp1pp/p1p2pQ1/8/1Pp5/8/P2PPPPP/RNB1KBNR b KQkq - 1 6,1
rnbq1kr1/2pp1Bp1/p2n4/1p2p2Q/1P1P1P2/b1P1P3/P3N1PP/RNB1K2R w KQ - 3 13,3
rnbqkb1r/pppppp2/7p/5p2/4P1n1/2P3P1/PP1P3P/RNBQKBNR b KQkq - 0 6,3
1r2kbnr/pp2ppp1/n6p/1bpP1Q2/P7/6PN/1PPN1P1P/R1B1KB1R w KQk - 3 13,3
rnbqkbnr/1p1pp2p/5pp1/p1p5/2P2PP1/N7/PP1PP2P/R1BQKBNR b KQkq - 1 6,0
1r1qkb1r/ppp2ppp/4b2n/3ppPB1/1n1PP1P1/P1N5/1PP4P/R2QKBNR b KQk - 0 9,3
rnbqk1nr/1p1pp3/5p1b/pNp3p1/2P5/1P1P2p1/PBQKPP1P/R4BNR w kq - 0 10,3
rnb1kbnr/p1p3pp/8/1p1Npp2/2P4q/PP2P1P1/3P1P1P/RNBQKBR1 b Qkq - 0 9,3
r1bq1knr/nppp1ppp/4p2B/8/pb1P1P2/2N3P1/PPP1P2P/R2QKBNR w KQ - 0 8,3
r2qkNnr/p1p1p1pp/b1n5/1p1B1p2/6P1/P1N5/RPPPPP1P/2BQK2R b K - 0 11,3
rNq1kbnr/1bpn1p2/p3pp2/1p1p3p/Q1P5/7P/PP1PPPPR/R1B1KB2 w Qkq - 2 12,3
1r1qkbnr/ppp1pp2/2n1b1p1/3pP2p/3P1B2/P6N/1PP2PPP/RN1QKBR1 b Qk - 0 7,3
rn1qk1nr/4ppbp/3p2p1/1pp5/p1P5/1P3PPb/P2PP2P/RNBQKBR1 w Qkq - 1 10,3
1rbq2kr/p1ppp1bp/np3n2/5p2/5pP1/NP1PPN1P/P1P5/R1BQKB1R b KQ - 0 11,3
rq2k1nr/pbpp2p1/Bp2p2p/5pN1/4P3/1PN4Q/P1PP1PPb/R1BK3R w kq - 0 12,3
rnbqkb1r/1p1p1p2/p5p1/1PP1p1np/4P3/P4N2/2PK1PPP/RNBQ1B1R b kq - 0 10,3
rn1qkb1r/p2p1pp1/b4n2/1p2p3/2pPP1PR/2P4B/PP3P2/RNBQK1N1 b Qkq - 3 11,3
rnb1kbnr/ppp1qppp/3p4/4p3/N3P3/7N/PPPPKPPP/R1BQ1BR1 w kq - 3 7,0
rnbqkb1r/pppp3p/6pn/3Pp1NQ/PP2pP2/2P5/1B3KPP/RN3B1R b kq - 0 12,3
rnbqr1k1/pppp2pp/4p2n/2b1QP2/P7/1P3N2/1BPP1PPP/RN2KB1R b KQ - 2 11,3
