fen,is_tactical
rnbqkbnr/p2p1ppp/8/1pp1p3/1P6/2P2PP1/P2PP2P/RNBQKBNR w KQkq - 0 5,0
rnbqkbnr/p1p1p1pp/1p1p1p2/8/8/N1P5/PP1PPPPP/1RBQKBNR w Kkq - 0 4,0
rnbqkbnr/1ppppp1p/6p1/p7/6P1/N6N/PPPPPP1P/R1BQKB1R b KQkq - 1 3,1
rnbk1bnr/ppN1pppp/7q/3p4/7P/5P2/PPPPP1P1/R1BQKBNR b KQ - 0 5,1
rnbqkbnr/ppp2ppp/8/3p4/3Pp1P1/4PP2/PPP4P/RNBQKBNR b KQkq - 0 4,1
rnbqkbnr/p1p1p3/B2p1p2/1p4pp/8/4P2P/PPPPKPP1/RNBQ2NR b kq - 0 6,1
rnbqkb1r/2pp1ppp/1p5n/p3pP2/2P3P1/P7/1P1PP2P/RNBQKBNR b KQkq - 0 5,0
rnbqkb1r/pppp1p1p/4p1p1/1N6/7n/5N2/PPPPPPPP/R1BQKB1R w KQkq - 0 6,1
r1bqkbnr/p2pppQ1/npp4p/1B6/4P3/8/PPPP1PPP/RNB1K1NR w KQkq - 0 5,1
rnbqkbnr/pp2p2p/2p5/3p2p1/3B1p2/PP4P1/2PPPP1P/RNQ1KBNR w KQkq - 0 7,1
rnbqkbnr/p1p3pp/Bp3p2/3pp3/4P3/N4P2/PPPP2PP/R1BQK1NR w KQkq - 0 5,0
r1bqkb1r/ppnppppp/2p4n/2P5/8/4P2P/PP1P1PPR/RNBQKBN1 b Qkq - 0 5,1
r1bqkb1r/p1pppppp/1p6/P7/1n4nP/4P2R/1PPP1PP1/RNBQKBN1 w Qkq - 1 6,1
2bqkbnr/1pppp1pp/r3Qp2/p7/1n4P1/2P4P/PP1PPP2/RNB1KBNR w KQk - 1 7,0
r1bqkbnr/1ppppp1p/p1n5/6p1/1P4P1/B7/P1PPPP1P/RN1QKBNR w KQkq - 0 4,1
rnbqkb1r/ppppnppp/8/4p2Q/4P3/5P2/PPPP2PP/RNB1KBNR b KQkq - 0 3,1
r1bqkbr1/1ppp1p1p/2n1p2n/p5p1/2B1PQ1P/8/PPPP1PP1/RNBK2NR w q - 0 7,0
rnbqkbnr/pppp3p/4pp2/6p1/8/P3PP2/RPPP2PP/1NBQKBNR b Kkq - 1 4,0
r1bqkbnr/ppppp2p/n5p1/5p2/P7/N6P/RPPPPPP1/2BQKBNR b Kkq - 0 4,0
rn1qkbnr/ppp1pp1p/4b3/3p2p1/1P6/2B5/P1PPPPPP/RN1QKBNR b KQkq - 3 4,0
rnbqk1nr/1p1pppbp/2p4p/8/p2P2P1/4P2P/PPPN1P2/R2QKBNR b KQkq - 0 6,1
rnbqkbnr/pp1ppp1p/2p5/3N2p1/5P2/8/PPPPP1PP/R1BQKBNR b KQkq - 1 3,1
r1b1kbnr/ppn1pppp/1q6/2pp4/2P2P2/1P5N/P2PP1PP/RNBQKB1R w KQkq - 1 7,0
rn2kbnr/ppp2ppp/3q4/3pp2N/b2PP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 7,1
rnb1k1nr/pp1pq1pp/2p1pp2/8/1P1b4/5NPP/P1PPPP2/RNBQKB1R w KQkq - 1 7,1
r1bqkbnr/p1ppp1pp/n7/1p3p2/1PP5/5N2/P2PPPPP/RNBQKB1R b KQkq - 0 4,0
rnbqkbnr/ppp2ppp/4p3/3p4/6P1/1P6/P1PPPPBP/RNBQK1NR b KQkq - 1 3,1
rnbqk2r/2ppppbp/1p3np1/p7/P3P2P/3P2P1/1PPN1P2/R1BQKBNR b KQkq - 2 6,0
rnbq1knr/p1pp1pp1/1p1bp3/7p/2PP2PP/1P6/P2QPP2/RNB1KBNR b KQ - 2 6,1
rnbqk1nr/1p1pppbp/Q5p1/p1p5/8/N3PPP1/PPPP3P/R1B1KBNR b KQkq - 5 6,1
r1bqkbnr/pp1ppp1p/n1p3p1/8/1P6/N2P4/P1P1PPPP/R1BQKBNR w KQkq - 0 4,0
rnb1k1nr/pppp1ppp/4p3/8/2P3Pq/b6N/PP1PPP1P/RNBQKB1R w KQkq - 1 4,1
rnbqkbnr/1p2pp1p/6p1/p1pp1P2/4P3/8/PPPP2PP/RNBQKBNR w KQkq - 0 6,0
r1bqkb1r/pppppp1p/n5p1/7n/6P1/3P4/PPP1PP1P/RNBQKBNR w KQkq - 0 5,1
rnb1kbnr/pppp1pp1/4pq1p/8/P7/6P1/1PPPPP1P/RNBQKBNR w KQkq - 1 4,0
1rbqkbnr/p1ppp1pp/1p6/5p2/Pn5P/2P2P1R/1P1PP1P1/RNBQKBN1 b Qk - 0 6,0
rnbqkbnr/pppp1ppp/8/4p3/PP6/2P3P1/3PPP1P/RNBQKBNR b KQkq - 0 4,0
1nbqk1nr/r1pp1ppp/pp1bp3/8/P4P2/4P3/1PPPB1PP/RNBQK1NR w KQk - 2 6,0
rnbqkbnr/1pp1pppp/3p4/p7/P7/6PN/1PPPPP1P/RNBQKB1R b KQkq - 0 3,0
r1bqkbnr/p3pppp/n1p5/3p4/1Pp2PP1/P2P4/4P2P/RNBQKBNR b KQkq - 0 6,1
rnbqkbnr/ppp1pp1p/3p4/4N1p1/1P6/8/P1PPPPPP/RNBQKB1R b KQkq - 1 3,1
1rbqkb1r/pppppppp/n6n/8/3P4/1P6/PBPKPPPP/RN1Q1BNR b k - 4 4,0
rnbqkbnr/2pp1pp1/1p2p2p/p7/3P4/PP3N1P/2P1PPP1/RNBQKB1R b KQkq - 0 5,0
r1bqkbnr/1pppppBp/2n5/p7/8/3P4/PPP1PPPP/RN1QKBNR b KQkq - 0 3,1
rnbqkbnr/p1ppp1p1/5p1p/1p6/6PP/7N/PPPPPP2/RNBQKB1R w KQkq - 0 4,1
rnbqk1nr/pp1pb1pp/2p5/4pp2/5P2/N6N/PPPPPKPP/R1BQ1BR1 w kq - 0 6,1
rnbqkbr1/pp1ppppp/2p4n/8/7P/2P4N/PPQPPPP1/RNB1KB1R b KQq - 2 4,0
rn1qkbnr/1pp1pppp/p2pb3/3P4/1P1Q4/B7/P1P1PPPP/RN2KBNR w KQkq - 3 6,1
r1bqkbnr/1ppp2pp/2n1pp2/p7/3P4/2N4P/PPPKPPP1/R1BQ1BNR w kq - 1 5,0
rnbqk1nr/pp1pp1bp/2p2p2/6p1/P6P/RP6/2PPPPP1/1NBQKBNR w Kkq - 2 5,1
rn1qkbnr/2p1pppp/p2pb3/1p6/7P/5NPB/PPPPPP2/RNBQK2R w KQkq - 2 5,1
rnbqkb1r/1pp2p2/4p1pn/p2P3p/5P2/P2P3N/1PP3PP/RNBQKB1R w KQkq - 0 7,0
rnbqkb1r/p1pppp1p/8/6p1/6Pn/2P2B2/PP1PPP1P/RNBQK1NR b KQkq - 2 6,0
rnbqkbnr/1pppp1p1/8/p4p1p/1P6/7P/PBPPPPPR/RN1QKBN1 w Qkq - 0 5,0
r1bqkbnr/1ppppppp/p1n5/8/2P5/PQ6/1P1PPPPP/RNB1KBNR b KQkq - 2 3,0
rnbqkbnr/pp1pppp1/2p4p/8/5P2/N6P/PPPPP1P1/R1BQKBNR b KQkq - 1 3,1
1n1qkbnr/rpp1pppp/p2p4/8/b1P1N3/3P4/PP2PPPP/R1BQKBNR w KQk - 5 6,1
r1bqkb1r/p1p1pnpp/2np4/1p3pN1/3P4/2N3P1/PPPQPP1P/R1B1KB1R w KQkq - 0 7,1
rnbqk1nr/1ppp3p/p3ppp1/8/PbPP4/2N5/1P1KPPPP/R1BQ1BNR w kq - 2 6,0
rnbqkb1r/pp2pppp/2pp3n/8/5PP1/8/PPPPPK1P/RNBQ1BNR w kq - 0 4,0
rnbqkbnr/1p2pppp/2pp4/p7/8/P3P1P1/1PPPNP1P/RNBQKB1R b KQkq - 1 4,0
r1bqkbnr/p1p1pp1p/1p1p4/4n1p1/P2P2PP/N7/1PP1PP2/R1BQKBNR b KQkq - 0 6,1
rnbqkbnr/2pppppp/1p6/p7/3P1P2/4B3/PPP1P1PP/RN1QKBNR b KQkq - 1 3,0
1rbq1knr/pppppp1p/2n4b/8/6p1/PPN2PPP/2PPP3/R1BQKBNR w KQ - 0 7,1
rnb1kb1r/pp1pppp1/1q3n2/2p4p/2P1P3/P4Q2/1P1P1PPP/RNB1KBNR w KQkq - 1 5,0
rnbqkbnr/1pppp2p/4Q3/p4pp1/8/2P2N2/PP1PPPPP/RNB1KB1R b KQkq - 1 4,1
rnb1k1nr/pppp1p1p/6p1/2b5/PP2p3/5q2/3PPPPP/RNBQKBNR w KQkq - 0 7,1
rn1qkbnr/ppp2ppp/8/3pp3/5P2/7b/PPPPP1PR/RNBQKBN1 w Qkq - 0 4,1
rnbqkbnr/ppppp2p/5p2/6p1/P3P3/7N/1PPP1PPP/RNBQKB1R b KQkq - 0 3,1
rnbqkb1r/ppppppp1/5n1p/1B6/1P2P3/8/P1PP1PPP/RNBQK1NR w KQkq - 1 5,0
rnbqkbnr/1pppppp1/p7/7p/1P6/B1P4N/P2PPPPP/RN1QKB1R w KQk - 1 5,0
rnbqkbnr/1pp1ppp1/p6p/3p4/1P3PP1/8/P1PPP2P/RNBQKBNR w KQkq - 0 4,1
rnbqk1nr/pppp2p1/8/2b1p2p/P1P3pP/8/1P1PPPB1/RNBQK1NR w KQkq - 0 6,1
r1bqkbnr/ppppp1pp/n4p2/8/8/P1N2N2/1PPPPPPP/R1BQKB1R b KQkq - 0 3,1
r1q1kb1r/pppbppp1/2n2n2/1B1p3p/P7/3PPN2/1PP2PPP/RNBQ1K1R w kq - 3 7,0
rnbqkbnr/1pp1pppp/p2p4/8/N7/4PN2/PPPP1PPP/R1BQKB1R w KQkq - 0 5,0
r1bqkbnr/ppp1p2p/2np4/1N3ppP/2P5/8/PP1PPPP1/R1BQKBNR w KQkq - 0 6,0
r1bqkb1r/ppp1ppp1/n2p3n/7p/8/N1P2N2/PP1PPPPP/1RBQKB1R w Kkq - 3 5,1
rnbqkbnr/2p2ppp/1p6/p2pp3/P6P/NP6/2PPPPPR/R1BQKBN1 b Qkq - 1 5,1
rnbqkb1r/pppnpppp/8/3p4/Q5P1/2PP4/PP2PP1P/RNB1KBNR b KQkq - 2 4,1
rnbqkb1r/p1pppp2/5n1p/1p4p1/8/3PP3/PPP2PPP/RNBQKBNR w KQkq - 0 5,0
rnbqkbnr/2pp1p1p/4p2p/pp6/8/1PPP4/P3PPPP/RN1QKBNR w KQkq - 0 5,1
rnb1kbnr/2pp1pp1/pp6/4p2p/3P2Pq/NP3N2/P1P1PP1P/R1BQKB1R b KQkq - 0 6,1
rnbqkbnr/pp1pp1p1/2p5/5p1p/2P1P3/6P1/PP1P1P1P/RNBQKBNR b KQkq - 0 4,0
r1bqkb1r/ppppppp1/2n2n2/7p/8/P1N1PN2/1PPP1PPP/R1BQKB1R b KQkq - 2 4,0
rnbqkb1r/1p1pp1pp/7n/p1p2p2/4P3/P1BP4/1PP2PPP/RN1QKBNR b KQkq - 0 5,0
rn1qkbnr/p1p1p1pp/1p1pb3/5p2/1P4P1/5N1B/P1PPPP1P/RNBQK2R b KQkq - 1 5,1
rnbqkbn1/p1p1pp2/1p1p3r/6pp/5P1P/PP5R/2PPP1P1/RNBQKBN1 w Qq - 2 6,1
rnbqkbnr/ppp1pp1p/3p4/6p1/5P2/5K2/PPPPP1PP/RNBQ1BNR b kq - 1 3,1
rnbqk1nr/pp1ppp2/2p4b/6pp/2N2P2/6P1/PPPPP2P/R1BQKBNR w KQkq - 2 5,0
rnbqk1nr/p2pp2p/5ppb/1p6/1p1B2P1/4P2N/P1PP1P1P/RN1QKB1R w KQkq - 0 7,0
rnbqkbnr/pp1pppp1/8/2p4p/8/2NPB3/PPPKPPPP/R2Q1BNR b kq - 1 5,1
r1bqk1nr/p1p2ppp/1p2p3/3p4/1b1nP2P/5QP1/PPPP1PB1/RNB1K1NR w KQkq - 0 7,0
rnbqkbnr/ppppp1p1/8/5p1p/5PP1/2P5/PP1PP2P/RNBQKBNR b KQkq - 0 3,1
1nb1kbnr/rpq1pppp/p7/2pp4/2B3PP/4P3/PPPP1P1R/RNBQK1N1 b Qk - 2 6,1
rn1qk1nr/p1pppp1p/b5pb/1p1P4/5Q2/P7/1PP1PPPP/RNB1KBNR w KQkq - 5 6,1
rnb1kb1r/1p1ppppp/p1p4n/8/P7/1Pq2R2/2PPPPPP/1NBQKBNR w Kkq - 1 6,1
rnbqk1nr/2p2ppp/pp1b4/3pp1N1/7P/P1P4R/1P1PPPP1/RNBQKB2 b Qkq - 0 6,1
r1b1kbnr/pppqpppp/3p4/8/Pn2P3/2P5/1P1P1PPP/RNBQKBNR w KQkq - 1 5,1
rnbqkb1r/pp1p1ppp/2p2n2/4pP2/8/2P1P3/PP1P2PP/RNBQKBNR b KQkq - 0 4,1
rnbqkb1r/pppppp1p/6p1/5n2/8/P4P2/RPPPP1PP/1NBQKBNR w Kkq - 0 4,0
r3kbnr/pbp1Nppp/np1p4/1P2p3/8/8/P1PPPPPP/1RBQKBNR w Kkq - 2 7,1
rnbqkbnr/2ppp1pp/1p6/p3Pp2/3P4/P7/1PPBNPPP/RN1QKB1R b KQkq - 1 6,1
rnbqkb1r/p1p1p2p/1p1p1p1n/6p1/P1B1P3/1PP5/3P1PPP/RNBQK1NR w KQkq - 0 6,1
r1bqkbnr/pp1ppp2/n1p5/6p1/2P4p/PPN1P3/3PKPPP/R1BQ1BNR b kq - 1 6,0
r1bqkbnr/p1pppppp/n7/1p6/P7/6PN/1PPPPP1P/RNBQKB1R w KQkq - 1 5,1
rnbqkbnr/1pp1ppp1/7p/p2p4/5P1P/7N/PPPPP1P1/RNBQKB1R b KQkq - 0 4,1
rnbqkbnr/2pp1ppp/p3p3/1p6/8/NP3N1P/P1PPPPP1/R1BQKB1R b KQkq - 1 4,0
rnbqkbnr/p3pppp/8/1ppp4/Q1P4P/5P2/PP1PP1P1/RNB1KBNR b KQkq - 0 4,1
r1bqkb1r/pppppppp/n4n2/8/2B5/2P1P3/PP1P1PPP/RNBQK1NR b KQkq - 2 3,0
rnbqkbnr/3ppppp/pp6/2p3B1/8/2PP4/PP2PPPP/RN1QKBNR w KQkq - 0 4,0
r1bqkbnr/p1p3pp/n3p3/1P1p1p2/1P6/3P2P1/P3PP1P/RNBQKBNR b KQkq - 0 6,0
rnbq1bnr/pp1ppk1p/2p3p1/5p2/8/P1PP4/1P1NPPPP/RNBQKB1R b KQ - 0 5,0
rnbqkbnr/2ppp1pp/1p3p2/p7/3P3P/P6N/1PP1PPP1/RNBQKB1R b KQkq - 0 4,1
rnbqkbnr/ppppp1p1/5p1p/8/4P3/2P4P/PP1P1PP1/RNBQKBNR b KQkq - 0 3,1
1rbqkbnr/pppppppp/2n5/8/6P1/2P4N/PP1PPP1P/RNBQKB1R b KQk - 2 3,1
r1bqkbnr/1ppppppp/2n5/pN6/8/1P6/P1PPPPPP/R1BQKBNR b KQkq - 1 3,0
rnbqkbnr/pp1ppppp/8/2p5/P7/4PN2/1PPPKPPP/RNBQ1B1R b kq - 0 4,0
rnbqkbnr/p2pp1pp/2p5/1p3p2/4P3/2P2Q2/PP1P1PPP/RNB1KBNR w KQkq - 1 6,1
rnb1kb1r/ppppqppp/4p3/7n/P7/2R1P2P/1PPP1PP1/1NBQKBNR b Kkq - 0 5,0
rn1qkbnr/p2pp1pp/bp3p2/2p3N1/2PP4/2N5/PP2PPPP/R1BQKB1R b KQkq - 2 5,1
rnbqkbnr/ppppp3/5p1p/6p1/2P4P/6P1/PP1PPP2/RNBQKBNR w KQkq - 0 4,1
r1bqkb1r/pp1pn1pp/n7/2p1pp2/8/N2PB3/PPPKPPPP/R1Q2BNR w kq - 4 6,1
rnbqkbnr/2ppp3/1p4p1/1p3p1p/1PP5/5P1N/P2PP1PP/R1BQKB1R w KQkq - 0 7,1
rnbqkbnr/1p1pppp1/p1p5/7p/P1P2P2/8/1P1PP1PP/RNBQKBNR w KQkq - 0 4,0
rnbqkbnr/p1ppp2p/1p4p1/8/5pQ1/2NPP3/PPP2PPP/R1B1KBNR w KQkq - 0 5,1
rnbq1b1r/1p1pkppp/p1p4n/4P3/1P1P4/4B3/P1P1P1PP/RNQ1KBNR w KQ - 1 7,1
r1bqk1nr/pp1p1pp1/n3p2p/2p5/1bP3PP/P7/3PPP2/RNBQKBNR w KQkq - 0 6,1
rnbqkbnr/1p1ppppp/p1p5/8/8/3P2PP/PPP1PP2/RNBQKBNR b KQkq - 0 3,0
rnb1kbnr/1p1ppppp/2p5/p1q5/N7/5PPB/PPPPP2P/R1BQK1NR b KQkq - 2 5,0
rnbqk1nr/1ppp1ppp/3bp3/P7/1p6/7P/2PPPPP1/RNBQKBNR w KQkq - 1 5,1
rnbqkbnr/pppppp1p/8/6p1/3P2P1/N7/PPP1PP1P/R1BQKBNR w KQkq - 0 4,1
rnbqkbr1/pppppppn/8/7p/P1P5/7P/RP1PPPP1/1NBQKBNR b Kq - 0 5,0
rnbqkbnr/1pp1pppp/8/p2p4/6P1/P1N4P/1PPPPPB1/R1BQK1NR b KQk - 1 5,0
rnb1kb1r/pp1ppppp/7n/q1p5/6P1/1P5N/P1PPPP1P/RNBQKB1R w KQkq - 1 4,0
rn1qkbnr/ppp1p1p1/5p1p/8/P5b1/N2pP2P/RPPP1PPR/2BQKBN1 w kq - 0 7,1
rnbqkbnr/pppppppp/8/8/4P3/1P6/P1PP1PPP/RNBQKBNR b KQkq - 0 3,0
rn1qkbnr/pppbpppp/3p4/8/P7/5N1P/1PPPPPP1/RNBQKB1R b KQkq - 0 3,0
rnbqkbr1/1p1p1ppN/2p1pn1p/p7/6P1/4P3/PPPPKP1P/RNBQ1B1R w q - 1 7,0
rnbqkb2/pppppp1r/5np1/4N3/2N4p/1P6/P1PPPPPP/R1BQKB1R w KQq - 0 6,0
rn1qkbnr/2pp2p1/bp2pp1p/p7/2P4P/NP6/PB1PPPP1/R2QKBNR w KQkq - 0 7,1
r1bqkbnr/pppppp1p/2n5/3P2p1/8/2N5/PPP1PPPP/R1BQKBNR b KQkq - 0 3,1
r1bqkb1r/pppppp1p/n4np1/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 4,0
rnbqkb1r/1pp1pppp/5n2/p2p4/2P3P1/8/PPNPPP1P/R1BQKBNR b KQkq - 2 4,1
1rb1kbnr/pp2pppp/n7/q1pp2N1/4P1P1/N7/PPPP1P1P/R1BQKB1R w KQk - 5 6,1
rnbq1bnr/ppp1pkpp/8/3p1p2/5P2/3P4/PPP1P1PP/RNBQKBNR w KQ - 1 4,0
rnbqkbnr/p1pp1p1p/4p3/1p4p1/8/1PNBP3/P1PP1PPP/1RBQK1NR w Kkq - 2 6,1
rnbqk1nr/pppp1p1p/8/4p1p1/1b5P/P6N/RPPPPPP1/1NBQKB1R b Kkq - 1 5,0
rnq1kbnr/ppp1pp1p/3p4/5bp1/7P/N3PQ2/PPPP1PPR/R1B1KBN1 b Qkq - 2 6,1
r1bqkbnr/ppppp1p1/n4p2/7p/5PP1/N7/PPPPP2P/1RBQKBNR b Kkq - 0 4,1
rnbqk1nr/pp1p2p1/2p2p2/4p2p/4P3/bQP2PP1/PP1P3P/RNB1KBNR w KQkq - 1 6,1
rnbqkbr1/2pp1ppp/p4n2/1p2p3/P7/4PN2/1PPP1PPP/RNBQKB1R w Qq - 3 6,1
r1bqkbnr/pppp1ppp/n7/4p3/3P4/P4N2/1PP1PPPP/RNBQKB1R w KQkq - 0 4,1
rnb1kbnr/pppqpppp/3p4/8/1P6/P7/1BPPPPPP/RN1QKBNR b KQkq - 2 3,0
rnbq1bnr/pp1ppkpp/2p2p2/8/7Q/4P2P/PPPP1PP1/RNB1KBNR b KQ - 3 4,0
rnbqkbnr/pppppp2/6p1/7p/8/NP3N2/P1PPPPPP/R1BQKB1R b KQkq - 0 3,0
rnbqkbnr/1p1p2p1/2p1p3/pN3p1p/P7/2R4P/1PPPPPP1/2BQKBNR b Kkq - 1 6,1
rnbqkbnr/2ppppp1/8/pp5p/2N2P2/8/PPPPP1PP/R1BQKBNR w KQkq - 0 4,0
rnbqk1nr/pppp1ppp/3b4/4p3/3P2P1/4P3/PPP2P1P/RNBQKBNR b KQkq - 0 3,0
r1bqkbr1/ppp1pnpp/2n2p2/3p4/6P1/PPN4P/2PPPP2/1RBQKBNR w Kq - 0 7,0
rnbq1bnr/3ppk1p/2p1Npp1/pp6/3P4/6P1/PPP1PP1P/RNBQKB1R w KQ - 0 7,1
r1bqkbnr/pppp2p1/2n4p/4pP2/1P6/2P2P1P/P2PP3/RNBQKBNR w KQ - 1 7,0
rnbqkbnr/p1p1pppp/3p4/8/1p6/P4N2/1PPPPPPP/RNBQKBR1 w Qkq - 0 4,1
r1bqkbnr/p1ppp1p1/n7/1p4Np/5Q2/2PP4/PP2PPPP/RNB1KB1R b KQkq - 0 6,1
rnb1kbnr/1p1ppp2/p6p/q1p3PP/8/3P4/PPP1PKP1/RNBQ1BNR b kq - 0 6,0
rnbqkbnr/ppp1p1p1/5p1p/3p4/P7/4P1P1/1PPP1P1P/RNBQKBNR w KQkq - 0 4,1
rn1qkbnr/pb1pppp1/2p4p/1N6/8/1P2P3/P1PP1PPP/R1BQKBNR w KQkq - 1 5,1
rnbqk1nr/1p1p1ppp/p1pbp3/8/P1B1P3/5P2/1PPP2PP/RNBQK1NR w KQkq - 0 5,0
r1bqk1nr/ppppp2p/2n4b/5pp1/7P/P1N5/1PPPPPP1/R1BQKBNR b Qkq - 1 5,0
rnbqkbnr/p1p1p1p1/5p1p/1p1p4/7P/P1P3P1/RP1PPP2/1NBQKBNR b Kkq - 1 5,0
rnb1kbnr/pp1p1p1p/1q2p1p1/2p5/4PPPP/8/PPPPN3/RNBQKB1R w KQkq - 3 7,0
r1bqkbnr/1pp1p2p/n2p2P1/p4p2/PP6/B7/2PPP1PP/RN1QKBNR b KQkq - 0 6,1
rn1qkb1r/p3pppp/b2p3n/1Np5/8/3P1PPB/PPP1P2P/R1BQK1NR w KQkq - 0 7,1
rnbqkbnr/1p1ppppp/2p5/p7/4P1P1/P7/1PPP1P1P/RNBQKBNR b KQkq - 0 3,0
rnbqk1nr/pppp1ppp/8/2b1p3/P7/R6N/1PPPPPPP/1NBQKB1R b Kkq - 3 3,1
rnbqkb1r/pppppppp/7n/8/8/NP6/P1PPPPPP/R1BQKBNR b KQkq - 6 4,0
rnbqkb1r/1pp1pppp/p2p4/8/P1P1n3/7R/1P1PPPPP/1NBQKBNR w Kkq - 1 5,0
rnbqkbnr/pppp1pp1/8/2P4p/4pP2/5N2/PP1PP1PP/RNBQKB1R b KQkq - 0 4,1
rnbqkbnr/pp1pp1p1/2p2p2/7p/2PP4/7N/PP2PPPP/RNBQKB1R w KQkq - 0 4,1
rnb2bnr/pp1qkppp/4p3/2pp4/5PP1/1B2P3/PPPP3P/RNBQK1NR w KQ - 0 6,0
rnbq1bnr/pp1kp1pp/8/2p2p2/1P1p2P1/5P1N/P1PPP2P/RNBQKB1R w KQ - 0 7,0
r1bqkb1r/pppp3p/n3p1pn/5p2/2PP4/1P3N2/P3PPPP/RNBQKB1R b KQkq - 1 6,0
rnb1kbnr/1p1ppppQ/pq6/2p5/P3P3/8/1PPP1PPP/RNB1KBNR b KQkq - 0 5,1
1nbqkbnr/rpp2pp1/4p2p/3p4/p3P3/2N2P2/PPPPQ1PP/R1B1KBNR w KQk - 2 7,0
rnbqkb1r/pp1pppp1/2p4p/7n/1P2P3/P5PB/2PP1P1P/RNBQK1NR b KQkq - 0 5,0
rnb1kbnr/pp1pp2p/2p2pp1/q7/P5P1/3BP3/1PPP1P1P/RNBQK1NR w KQkq - 1 5,0
rnbqkbnr/1pppppp1/7p/8/p2PP3/5P1P/PPP3P1/RNBQKBNR b KQkq - 0 4,0
rnbqkb1r/ppp1pppp/3p1n2/8/2PP4/2N2N1P/PP2PPP1/R1BQKB1R b KQkq - 1 5,1
rnbqkbnr/1pp1p1p1/8/p2p1p1p/3P2PB/N6P/PPP1PP2/R2QKBNR b KQkq - 1 6,0
r1bqkbnr/ppp1pppp/1n6/3p4/3P3P/4P3/PPP2PP1/RNBQKBNR w KQkq - 1 4,0
1nbqkb1r/1pppp2p/r4ppB/p7/P7/1P1P4/2P1PPPP/RN1QKBNR w KQk - 1 6,1
rnbqkbnr/pp1pp2p/2p2p2/6p1/2Q5/2N1P3/PPPP1PPP/R1B1KBNR b KQkq - 1 4,0
rnb1kbnr/ppppqppp/4p3/8/8/4P2P/PPPPNPP1/RNBQKB1R b KQkq - 2 3,0
r1bqkbnr/2p3pp/1pnpp3/p4p2/P5P1/1P1P3P/2PBPP2/RN1QKBNR w KQkq - 0 7,0
r1bqkbnr/pppppppp/8/2n5/5P2/6PN/PPPPP2P/RNBQKB1R b KQkq - 0 3,0
r2qkbnr/p1pppppp/b1n3B1/1p6/8/2N1P3/PPPP1PPP/R1BQK1NR b KQkq - 5 4,1
r1Q1kb1r/ppp1ppp1/n2q3n/3pP2p/8/NP6/P1PP1PPP/R1B1KBNR b KQkq - 0 6,1
rnbqkb1r/ppppp1p1/5p1n/7p/4P3/2PP4/PP3PPP/RNBQKBNR w KQkq - 1 4,1
rnbqkbnr/pp1pp1p1/7p/2p3N1/6pP/7B/PPPPPP1R/RNBQK3 w Qkq - 4 7,1
rn1qkbn1/p1p1pppr/3p4/1p2Nb1p/7P/8/PPPPPPPR/RNBQKB2 b Qq - 3 6,1
r1bqkbnr/pppppppp/8/8/1n2P3/7N/PPPP1PPP/RNBQKB1R b KQkq - 0 3,0
rnbqkbnr/1pppp1p1/p6p/5p2/2P5/6P1/PP1PPP1P/RNBQKBNR b KQkq - 1 4,0
rnbqk1nr/pppp1pp1/4p3/7p/1b1P4/2P2PPP/PP2P2R/RNBQKBN1 b Qkq - 2 6,0
r1bqk1nr/ppppppb1/2n5/6pp/4P3/N4PP1/PPPPK2P/R1BQ1BNR b kq - 0 5,1
rnbqkbn1/ppppp2r/8/6pp/5p2/PPP2N2/R2PPPPP/1NBQKB1R w Kq - 1 6,1
r1bqkbnr/1pppppp1/B7/n6p/5P2/2P1PN2/PP1P2PP/RNBQK2R b KQkq - 0 5,1
r1bqkb1r/p1ppnppp/2n5/1p2p3/P7/4P1PP/1PPP1P2/RNBQKBNR w KQkq - 1 5,1
rnbqkbnr/1pppp2p/p7/5pp1/2P1P3/8/PP1PBPPP/RNBQK1NR w KQkq - 0 4,0
rnb1k1nr/pp2pp1p/1q1p3b/2p2Bp1/4P3/2N5/PPPP1PPP/1RBQK1NR b Kkq - 3 6,0
rnbqkbnr/pppp1p2/4p2p/6p1/1PP5/4P2P/P2P1PP1/RNBQKBNR b KQkq - 0 4,0
r1bqkbnr/pppppppp/2n5/8/8/3P1N1P/PPPNPPP1/R1BQKB1R b KQkq - 4 4,0
rnb1kbnr/ppp2ppp/3pp3/6q1/P7/R4P1P/1PPPP1P1/1NBQKBNR b Kkq - 0 4,0
rnbqk2r/p2pbppp/1p5n/2p1p3/P3N3/5PP1/1PPPP2P/R1BQKBNR b KQkq - 2 6,1
r1bqkb1r/p1pppppp/1pn5/5n2/1P1P1P2/8/P1PQPKPP/RNB2BNR b kq - 2 5,1
rnbqkbnr/ppppp1p1/5p2/7p/8/PP3N2/2PPPPPP/RNBQKB1R w KQkq - 0 4,1
rnbqkbnr/p2pppp1/1pp4p/5P2/8/P7/1PPPP1PP/RNBQKBNR w KQkq - 0 4,0
r1bqkb1r/p1pppp1p/1p5n/1P4p1/1nP1P3/8/P2P1PPP/RNBQKBNR w KQkq - 0 6,1
r1bqkbnr/pp1ppp1p/2n5/6p1/2p1P2N/5P1P/PPPP2P1/RNBQKB1R b KQkq - 0 5,1
rnbqk2r/pppp1ppp/3bpn2/8/5PP1/5N2/PPPPP2P/RNBQKB1R w KQkq - 3 4,0
